Site,Bottom Substrate,Cover Score,Channel Modification (scaled),Pool Variety,Bank Stability & Vegetation (scaled),Light Penetration,Riparian Zone,Total
1,12,20,0.420731707,10,0.179878049,5,8,86
2,10,16,0.420731707,10,-2.820121951,3,10,68
3,12,16,-0.579268293,10,-2.820121951,4,9,63
4,12,16,0.420731707,10,0.179878049,2,10,77
5,15,18,-0.579268293,10,0.179878049,2,9,71
6,15,20,0.420731707,10,3.179878049,2,8,88
7,15,16,0.420731707,6,0.179878049,2,10,76
8,15,16,-0.579268293,6,3.179878049,4,10,68
9,8,16,0.420731707,10,-3.820121951,7,10,69
10,3,15,0.420731707,8,-2.820121951,10,10,65
11,3,11,0.420731707,10,-2.820121951,7,10,54
12,1,14,-0.579268293,5,-2.820121951,2,10,43
13,3,15,0.420731707,10,-0.820121951,7,9,65
14,12,15,0.420731707,10,3.179878049,10,8,78
15,1,13,1.651595745,10,5.704787234,7,10,76
16,13,20,1.651595745,8,-4.295212766,10,10,86
17,3,15,0.420731707,10,-2.820121951,10,10,61
18,1,6,-0.579268293,4,-2.820121951,2,10,34
19,1,15,1.651595745,8,-1.295212766,2,10,64
20,3,7,-0.579268293,10,-3.320121951,7,10,51
21,3,11,-0.579268293,4,-2.820121951,7,8,56
22,3,15,-0.579268293,10,0.179878049,2,9,55
23,2,15,-0.579268293,8,0.179878049,7,8,57
24,2,15,0.420731707,6,2.179878049,10,9,59
25,2,5,-4.579268293,0,3.179878049,10,9,39
26,4,15,-0.579268293,8,-2.820121951,10,10,61
27,1,10,0.420731707,10,3.179878049,10,10,69
28,3,15,0.420731707,8,0.179878049,10,10,63
29,3,15,0.420731707,10,-2.820121951,10,10,63
30,3,15,-0.579268293,10,-0.820121951,7,6,54
31,3,10,-0.579268293,10,-2.820121951,7,10,54
32,10,19,0.420731707,10,3.179878049,7,10,88
33,15,15,0.420731707,10,3.179878049,10,10,92
34,8,15,0.420731707,10,0.179878049,7,8,68
35,9.5,14,-0.079268293,9,-1.320121951,7,8.5,65
36,11,13,-0.579268293,8,-2.820121951,7,9,62
37,15,14,0.420731707,10,-0.820121951,4.5,9,76.5
38,12,16,-0.579268293,8,0.179878049,7,10,74
39,15,15,0.420731707,10,-0.820121951,10,10,84
40,15,15,0.420731707,8,3.179878049,10,8,83.5
41,12,20,0.420731707,8,3.179878049,10,10,88
42,3,15,0.420731707,6,-1.320121951,8,5,63
43,3,15,-0.579268293,10,0.179878049,10,10,72
44,3,10,-0.579268293,8,-2.820121951,10,10,59
45,3,14,0.420731707,8,3.179878049,8.5,9,67.5
46,13,18,-6.098404255,6,-3.545212766,5.25,9.5,84.5
47,7,13,-3.348404255,4,-1.295212766,2,10,59
48,13,13,1.651595745,10,-2.295212766,4,10,77
49,13,10,1.651595745,8,1.704787234,4.5,10,76.5
50,8.5,13,-3.348404255,6,-4.295212766,7,8,62.5
51,15,20,1.651595745,6,-2.795212766,4.5,9,81
52,6,19,0.420731707,10,3.179878049,7,8,70
53,11,15,-0.579268293,10,0.179878049,4.5,9,66.5
54,8,19,-0.579268293,8,-2.820121951,7,9,63
55,4,20,1.651595745,10,-2.795212766,10,9,79.5
56,6,20,-3.348404255,8,5.704787234,8.5,9,81.5
57,5,13,1.651595745,10,-2.795212766,2,10,66.5
58,11,20,1.651595745,10,-1.295212766,10,10,89
59,13,13,1.651595745,8,0.204787234,7,10,80.5
60,11,19,0.420731707,10,0.179878049,10,10,82
61,6,15,0.420731707,8,-2.820121951,10,10,64
62,4,15,-0.579268293,10,-7.820121951,10,10,58
63,1,14,0.420731707,10,4.179878049,8,10,62
64,3,19,-0.579268293,10,0.179878049,10,10,68
65,11,15,0.420731707,6,0.179878049,10,10,74
66,13,20,1.651595745,8,-1.295212766,8.5,9,86.5
67,3,12,0.420731707,10,3.179878049,8,10,61
68,5,13,1.651595745,6,-4.295212766,4.5,6,59.5
69,7,18,1.651595745,10,5.704787234,10,10,90
70,14,15,1.651595745,10,-1.295212766,7,9,83
71,5,8,-3.348404255,8,-3.295212766,2,6,50
72,4,13,-3.348404255,8,-1.295212766,4.5,9,61.5
73,7,13,1.651595745,10,-4.295212766,7,10,72
74,4,10.5,-3.348404255,8,-4.295212766,7,10,59.5
75,15,18,1.651595745,10,-1.295212766,7,10,88
76,7,13,1.651595745,8,-1.295212766,8.5,10,74.5
77,13,13,1.651595745,10,1.704787234,10,10,87
78,4,20,-3.348404255,10,2.704787234,2,10,73
79,7,18,-3.348404255,10,-1.295212766,10,10,78
80,8.5,15.5,1.651595745,8,-1.295212766,8.5,10,78.5
81,5,13,1.651595745,10,-4.295212766,2,10,65
82,13,20,1.651595745,6,-1.295212766,10,10,87
83,7,13,1.651595745,6,-4.295212766,2,8,61
84,7,11.5,-3.348404255,8,-4.295212766,7,9,62.5
85,3,15,-0.579268293,8,-3.820121951,7,10,53
86,4,13,-0.579268293,10,-2.820121951,6,6,50
87,1,11,-0.579268293,10,4.179878049,7,10,57
88,15,18,1.651595745,8,-1.295212766,10,10,89
89,15,20,1.651595745,10,-1.295212766,10,10,93
90,14,20,1.651595745,10,1.704787234,10,10,95
91,1,15,1.651595745,10,0.704787234,10,10,76
92,1,10,1.651595745,10,2.704787234,7,7,67
93,13,13,-3.348404255,4,-1.295212766,4.5,9,66.5
94,7,20,1.651595745,10,1.704787234,9,10,87
95,1,13,-13.34840426,10,0.704787234,7,9,55
96,7,18,1.651595745,10,0.204787234,10,10,84.5
97,7,8,-3.348404255,6,-1.295212766,10,8,62
98,1,19,1.651595745,10,1.704787234,10,10,81
99,1,15,1.651595745,8,5.704787234,10,9,78
100,3,15,1.651595745,10,5.704787234,7,10,80
101,13,20,1.651595745,6,5.704787234,8.5,10,82.5
102,10,13,1.651595745,10,1.704787234,4,10,76
103,7,13,1.651595745,8,-1.295212766,8.5,8,72.5
104,1,12,1.651595745,10,1.704787234,10,10,74
105,7,12,-3.348404255,6,-1.295212766,10,10,68
106,7,12,1.651595745,10,-1.295212766,7,10,74
107,7,18,-3.348404255,8,-1.295212766,10,8,74
108,7,12,1.651595745,8,-2.795212766,10,8,71.5
109,4,15,-3.348404255,4,5.704787234,10,10,73
110,7,15,-8.348404255,10,-1.295212766,2,6,58
111,7,20,1.651595745,8,5.704787234,10,10,90
112,4,15,1.651595745,6,4.204787234,7,10,75.5
113,4,13,1.651595745,4,1.704787234,2,10,64
114,7,15,1.651595745,8,5.704787234,2,9,76
115,7,13,1.651595745,6,5.704787234,7,8,76
116,7,13,1.651595745,10,1.704787234,10,10,81
117,7,13,-3.348404255,10,4.704787234,10,8,77
118,7,13,1.651595745,10,5.704787234,7,10,82
119,7,10.5,1.651595745,8,-4.295212766,4.5,6,61
120,4,16,0.420731707,10,3.179878049,10,10,75
121,1,15,0.420731707,4,-0.820121951,10,10,55
122,8,16,-0.579268293,4,-1.820121951,7,6,60
123,2,10,-0.579268293,8,0.179878049,2,10,47
124,8,15,-0.579268293,10,-2.820121951,10,10,71
125,1,20,-3.348404255,10,-4.295212766,7,6,64
126,15,16,0.420731707,6,3.179878049,2,10,81
127,13,8,-3.348404255,4,0.704787234,7,8,65
128,7,12,-3.348404255,4,0.704787234,10,7,65
129,3,7,-0.579268293,6,4.179878049,2,10,47
130,2,10,-0.579268293,6,4.179878049,7,8,51
131,14,16,-0.579268293,10,3.179878049,10,7,90
132,15,20,0.420731707,8,-3.820121951,7,10,78
133,3,16,-0.579268293,10,0.179878049,7,8,61
134,13,15,-3.348404255,10,-1.295212766,7,10,78
135,15,19,0.420731707,10,0.179878049,7,9,82
136,8.5,20,1.651595745,10,1.704787234,10,8,87.5
137,6,15,-0.579268293,10,-3.820121951,7,10,61
